bucket_size;threads;algorithm;generating;splitting;sorting;writing;overall
89;1;3;0.061569;0.103405;0.123192;0.009119;0.244998
89;1;3;0.047622;0.100427;0.118673;0.008826;0.236004
90;1;3;0.050877;0.103338;0.118416;0.008833;0.239352
90;1;3;0.061380;0.100455;0.117914;0.008863;0.236010
90;1;3;0.047980;0.099939;0.118661;0.008942;0.235910
91;1;3;0.052895;0.109282;0.118409;0.008799;0.244954
91;1;3;0.061335;0.100539;0.118419;0.008776;0.235593
91;1;3;0.047805;0.097006;0.122192;0.009058;0.236088
92;1;3;0.053323;0.104331;0.118443;0.008774;0.240047
92;1;3;0.062440;0.100214;0.119249;0.008815;0.235125
92;1;3;0.052883;0.101708;0.118428;0.008829;0.238021
93;1;3;0.050098;0.103407;0.120995;0.008791;0.241868
93;1;3;0.062069;0.099800;0.121651;0.008771;0.238662
93;1;3;0.047754;0.097806;0.118498;0.008705;0.233145
94;1;3;0.050563;0.100372;0.119848;0.008807;0.237874
94;1;3;0.061634;0.106196;0.120518;0.008772;0.244050
94;1;3;0.047682;0.097195;0.119782;0.008830;0.234644
95;1;3;0.050955;0.101232;0.119434;0.008745;0.238596
95;1;3;0.061404;0.095860;0.121017;0.008994;0.234337
95;1;3;0.047884;0.095686;0.119133;0.008715;0.231516
96;1;3;0.051141;0.100012;0.120225;0.008708;0.237694
96;1;3;0.063449;0.100649;0.119661;0.008756;0.237746
96;1;3;0.047762;0.098359;0.214002;0.008791;0.329569
97;1;3;0.051207;0.099689;0.119530;0.008800;0.236475
97;1;3;0.061694;0.095728;0.120430;0.008891;0.233523
97;1;3;0.047704;0.100576;0.120016;0.008902;0.238096
98;1;3;0.051443;0.099270;0.120485;0.008726;0.237739
98;1;3;0.061641;0.093863;0.120389;0.008824;0.231974
98;1;3;0.047743;0.093878;0.120291;0.008739;0.230996
99;1;3;0.049222;0.098401;0.120428;0.008814;0.233437
99;1;3;0.061347;0.095030;0.120349;0.009302;0.234341
99;1;3;0.047927;0.094297;0.120513;0.008751;0.231986
100;1;3;0.050365;0.101641;0.130660;0.009327;0.252785
100;1;3;0.061460;0.094826;0.120636;0.008839;0.233111
100;1;3;0.047693;0.095502;0.121506;0.008886;0.234556
